total_orders,customer_state,AVG_approval_time_hours,AVG_delivery_delay_days,AVG_review_score
80,AC,15.169440971687436,-20.077006944437745,4.0875
398,AL,12.034271356981979,-8.147744945788654,3.841708542713568
145,AM,9.76158620679173,-18.866969667930668,4.220689655172414
66,AP,15.143114478750663,-19.091451669457566,4.242424242424242
3246,BA,11.76225320060777,-10.190926482167482,3.9294516327788047
1276,CE,11.271845751790439,-10.173555472110642,3.938087774294671
2089,DF,10.280526567701662,-11.302743820142751,4.131641933939684
1978,ES,10.556748258449039,-9.986137342946726,4.082406471183013
1963,GO,12.55803036729611,-11.559896646996213,4.102903718797759
716,MA,13.85108935529744,-9.036512809078465,3.839385474860335
11354,MG,9.993605556081855,-12.576868192557653,4.192707415888673
710,MS,10.510102112879846,-10.320320161710113,4.169014084507042
882,MT,13.463117913767492,-13.805972904593593,4.147392290249433
939,PA,12.221958052366972,-13.497326056081187,3.9126730564430243
513,PB,13.895830084727695,-12.80160394556036,4.077972709551657
1590,PE,10.788619147374664,-12.735776671326175,4.0855345911949685
472,PI,10.161048140163707,-10.607972182984605,3.9957627118644066
4919,PR,10.82059994131678,-12.63883597849906,4.238259808904249
12281,RJ,9.299345268813529,-11.104758849111104,3.9634394593274163
473,RN,10.954472045880795,-13.005872190907306,4.150105708245243
242,RO,13.380383378833779,-19.385021761175214,4.1652892561983474
41,RR,9.492222221795378,-16.59459773036538,3.902439024390244
5364,RS,11.672884547709169,-13.21521992467218,4.185495898583147
3533,SC,11.124086549117035,-10.85053439265918,4.131050099065949
334,SE,10.126417165644423,-9.376203669053865,3.907185628742515
40484,SP,9.73527484071146,-10.406551056601659,4.246196028060468
273,TO,13.072418599624882,-11.41435850799193,4.153846153846154
